study,y0,c0,y0cc,c0cc,n0,y1,c1,y1cc,c1cc,n1
1,3,114,3,114,117,0,116,0.5,116.5,116
2,3,32,3,32,35,1,43,1,43,44
3,9,186,9,186,195,2,206,2,206,208
4,7,129,7,129,136,0,130,0.5,130.5,130
5,6,151,6,151,157,5,146,5,146,151
6,4,135,4,135,139,1,97,1,97,98
7,3,174,3,174,177,1,173,1,173,174
8,2,37,2,37,39,1,73,1,73,74
9,19,84,19,84,103,1,96,1,96,97
10,2,120,2,120,122,1,112,1,112,113
11,7,57,7,57,64,0,66,0.5,66.5,66
12,1,57,1,57,58,0,70,0.5,70.5,70
13,5,170,5,170,175,3,185,3,185,188
14,11,169,11,169,180,6,181,6,181,187
15,0,105,0.5,105.5,105,0,118,0.5,118.5,118
16,1,261,1,261,262,0,252,0.5,252.5,252
17,3,359,3,359,362,1,344,1,344,345
18,1,68,1,68,69,4,60,4,60,64
