"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4-8",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"admisc","admisc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.37",NA,"R (>= 3.5.0)","methods",NA,"QCA (>= 3.7)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"ahaz","ahaz","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.15.1",NA,"R (>= 2.10), survival, Matrix, methods",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.2"
"AnnotationDbi","AnnotationDbi","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.68.0",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"anytime","anytime","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.10",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"ape","ape","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.8",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"ash","ash","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"askpass","askpass","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"assertthat","assertthat","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"backports","backports","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"BART","BART","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.9.9",NA,"R (>= 3.6), nlme, survival","Rcpp (>= 0.12.3), parallel, tools","Rcpp","MASS, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"base64enc","base64enc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"bayestestR","bayestestR","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.15.0",NA,"R (>= 3.6)","insight (>= 0.20.5), datawizard (>= 0.13.0), graphics,
methods, stats, utils",NA,"BayesFactor (>= 0.9.12-4.4), bayesQR, bayesplot, betareg, BH,
blavaan, bridgesampling, brms, collapse, curl, effectsize,
emmeans, gamm4, ggdist, ggplot2, glmmTMB, httr2, KernSmooth,
knitr, lavaan, lme4, logspline (>= 2.1.21), marginaleffects (>=
0.21.0), MASS, mclust, mediation, modelbased, ordbetareg,
parameters, patchwork, performance, quadprog, posterior,
RcppEigen, rmarkdown, rstan, rstanarm, see (>= 0.8.5),
testthat, tweedie, withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"BB","BB","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2019.10-1",NA,"R (>= 2.6.1)","stats, quadprog",NA,"setRNG, survival, Hmisc, numDeriv",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"BBmisc","BBmisc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.13",NA,NA,"checkmate (>= 1.8.0), data.table, methods, stats, utils",NA,"codetools, microbenchmark, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"beeswarm","beeswarm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.0"
"BH","BH","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.84.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.4.0"
"BiasedUrn","BiasedUrn","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.12",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"bigD","bigD","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.0",NA,"R (>= 3.3.0)",NA,NA,"covr, testthat (>= 3.0.0), tibble (>= 3.2.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"biglm","biglm","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-3",NA,"DBI, methods",NA,NA,"RSQLite, RODBC","leaps","GPL",NA,NA,NA,NA,"yes","4.4.1"
